area,product_id,quantity,hour,day_of_week
South,981997,2,20,Thursday
South,328679,3,20,Thursday
South,874326,4,20,Thursday
North,621860,5,0,Sunday
North,179507,3,0,Sunday
North,447288,5,0,Sunday
North,417528,1,9,Wednesday
North,424718,1,10,Friday
North,115348,1,10,Friday
South,741835,2,11,Tuesday
South,713622,1,11,Tuesday
West,591797,1,19,Tuesday
East,123191,3,14,Friday
East,657579,2,14,Friday
East,845820,2,14,Friday
East,136788,2,7,Thursday
East,431976,1,17,Sunday
East,599381,1,17,Sunday
East,811207,1,17,Sunday
West,981997,1,5,Tuesday
West,858212,4,5,Tuesday
Central,417009,2,6,Friday
Central,896270,4,6,Friday
South,424718,1,23,Monday
South,283621,3,23,Monday
Central,404100,3,18,Friday
West,543513,4,17,Sunday
North,474362,1,2,Thursday
North,635769,2,2,Thursday
North,202715,1,2,Thursday
East,155861,1,20,Friday
East,176656,4,20,Friday
South,582936,2,2,Wednesday
South,125748,1,2,Wednesday
South,236141,3,2,Wednesday
West,844672,1,6,Thursday
West,543513,1,6,Thursday
West,458263,4,6,Thursday
North,394174,1,7,Sunday
North,625107,2,7,Sunday
West,591797,1,9,Thursday
South,601115,2,5,Saturday
Central,932387,1,1,Sunday
Central,323016,2,1,Sunday
Central,367952,1,1,Sunday
Central,799380,1,6,Saturday
North,480254,1,12,Thursday
North,766294,2,12,Thursday
Central,987911,1,22,Friday
Central,966126,2,22,Friday
West,134761,2,12,Friday
West,588836,1,12,Friday
East,179507,1,18,Thursday
East,404100,3,18,Thursday
East,917641,2,18,Thursday
East,404100,4,6,Friday
East,582219,1,6,Friday
Central,351367,3,19,Monday
Central,665639,3,19,Monday
Central,714157,1,19,Monday
South,582219,1,22,Thursday
South,904976,2,22,Thursday
West,784425,1,12,Tuesday
West,799380,4,12,Tuesday
West,876627,4,13,Wednesday
West,394174,1,13,Wednesday
West,351367,1,13,Wednesday
South,784425,1,19,Tuesday
South,467894,2,19,Tuesday
South,283803,2,19,Tuesday
North,120672,1,5,Tuesday
South,641411,1,23,Monday
Central,357966,4,6,Saturday
West,122121,1,6,Monday
West,177733,4,6,Monday
West,511087,1,6,Monday
North,351367,2,0,Saturday
Central,314921,2,6,Thursday
Central,176656,1,6,Thursday
Central,932952,2,6,Thursday
North,513418,2,15,Monday
North,700732,1,15,Monday
North,201111,1,15,Saturday
North,391708,2,15,Saturday
North,357966,3,15,Saturday
North,599381,1,8,Saturday
North,580730,3,8,Saturday
North,417528,2,8,Saturday
West,160732,1,7,Tuesday
West,115684,2,7,Tuesday
East,780063,1,7,Friday
East,129553,3,7,Friday
East,268844,2,7,Friday
South,458263,4,14,Friday
South,621860,3,19,Friday
South,917641,2,19,Friday
South,263679,2,22,Sunday
South,550857,3,22,Sunday
South,474362,2,22,Sunday
West,912354,1,18,Tuesday
West,713622,2,18,Tuesday
South,713451,1,11,Tuesday
South,760381,2,21,Monday
Central,917641,2,18,Friday
Central,782729,1,18,Friday
Central,550857,5,20,Tuesday
Central,647654,2,20,Tuesday
Central,826219,5,20,Tuesday
East,657579,3,0,Wednesday
East,179932,2,0,Wednesday
East,431976,2,0,Wednesday
West,340098,2,1,Friday
West,973291,3,1,Friday
Central,657579,2,20,Sunday
Central,575961,3,20,Sunday
Central,160732,1,20,Sunday
North,543513,1,19,Thursday
North,788175,1,19,Thursday
South,431976,1,6,Thursday
South,319527,2,6,Thursday
South,526783,2,6,Thursday
South,115348,2,20,Saturday
South,160732,3,20,Saturday
South,467894,3,19,Saturday
South,108796,1,19,Saturday
South,665639,2,19,Saturday
East,367952,2,12,Saturday
North,394868,1,2,Tuesday
North,190530,1,2,Tuesday
North,625107,3,2,Tuesday
North,811207,2,22,Saturday
North,283803,2,22,Saturday
South,240196,2,3,Wednesday
South,973291,2,3,Wednesday
South,542696,3,3,Wednesday
West,858357,1,3,Monday
West,103736,3,3,Monday
West,970718,2,13,Sunday
West,123191,4,13,Sunday
West,727865,3,6,Tuesday
West,845820,1,6,Tuesday
West,474362,1,6,Tuesday
West,995677,1,13,Wednesday
West,176656,1,13,Wednesday
West,526783,1,13,Wednesday
North,201111,1,21,Thursday
North,970718,1,21,Thursday
West,601115,1,13,Tuesday
West,647421,1,13,Tuesday
North,221626,1,0,Wednesday
North,202715,2,0,Wednesday
North,417528,4,0,Wednesday
West,596545,3,3,Tuesday
West,712158,2,3,Tuesday
West,130198,2,3,Tuesday
Central,152243,2,6,Tuesday
West,131542,1,4,Tuesday
West,926868,2,4,Tuesday
West,596545,5,4,Tuesday
West,293073,1,18,Saturday
West,201111,5,18,Saturday
North,758294,2,15,Wednesday
East,741835,1,14,Tuesday
West,447726,1,12,Saturday
North,912354,2,19,Sunday
North,632686,1,19,Sunday
North,474362,1,19,Sunday
West,734159,1,17,Wednesday
East,990634,1,1,Sunday
North,990634,2,4,Wednesday
North,103736,5,4,Wednesday
West,782729,1,9,Thursday
West,379582,2,9,Thursday
West,741835,3,9,Thursday
South,179932,1,18,Monday
South,254410,2,18,Monday
Central,240196,1,16,Sunday
Central,896270,2,16,Sunday
East,644730,2,3,Friday
East,143527,3,3,Friday
East,160732,4,3,Friday
West,855119,2,15,Wednesday
West,467525,2,13,Sunday
North,582219,4,6,Sunday
West,657152,1,15,Thursday
West,826219,2,15,Thursday
West,122121,1,15,Thursday
East,932952,2,13,Monday
South,582936,1,11,Wednesday
South,268844,1,11,Wednesday
West,766294,2,17,Sunday
South,268844,5,9,Wednesday
South,621860,4,7,Monday
South,891289,2,20,Thursday
South,582936,1,20,Thursday
South,695926,2,20,Thursday
East,766294,1,18,Wednesday
West,134761,1,22,Saturday
West,647421,3,22,Saturday
West,463028,4,22,Saturday
West,713451,1,12,Sunday
West,129553,2,12,Sunday
West,957598,5,12,Sunday
Central,404100,1,5,Tuesday
Central,134761,1,5,Tuesday
South,876627,3,22,Monday
North,912354,1,10,Thursday
North,125748,1,10,Thursday
North,874812,1,10,Thursday
West,593117,2,18,Monday
West,896270,2,18,Monday
West,826219,2,18,Monday
North,323016,1,9,Saturday
North,601115,1,9,Saturday
North,580730,3,9,Saturday
Central,564853,1,20,Sunday
North,463028,2,7,Tuesday
South,797959,1,8,Monday
South,664634,2,8,Monday
South,327670,1,8,Monday
South,734159,1,6,Tuesday
South,131542,2,6,Tuesday
South,176656,4,6,Tuesday
West,826219,3,4,Thursday
West,780063,2,4,Thursday
West,989365,1,4,Thursday
Central,177733,1,11,Wednesday
East,289459,4,10,Friday
East,784425,1,10,Friday
West,293073,3,22,Monday
West,799380,3,22,Monday
West,367952,2,2,Monday
West,328679,1,2,Monday
South,763628,4,11,Sunday
East,599381,1,20,Saturday
East,129553,1,20,Saturday
East,379582,3,20,Saturday
Central,917641,3,7,Thursday
North,391708,1,7,Friday
North,727865,2,7,Friday
North,981997,3,16,Saturday
North,758294,3,16,Saturday
East,314921,3,9,Tuesday
East,155861,3,9,Tuesday
East,580730,2,9,Tuesday
South,480254,3,18,Saturday
South,257146,2,18,Saturday
East,143527,3,5,Saturday
East,580730,2,5,Saturday
East,462550,3,15,Tuesday
East,821570,4,15,Tuesday
Central,453516,2,1,Thursday
Central,700732,2,9,Monday
Central,108796,3,9,Monday
Central,811207,1,9,Monday
Central,716660,1,10,Sunday
South,716660,1,2,Sunday
Central,657152,1,15,Saturday
Central,782729,2,13,Monday
Central,657152,1,13,Monday
North,695926,3,1,Monday
North,556364,2,1,Monday
West,932952,2,16,Monday
North,714157,5,12,Wednesday
South,319527,2,11,Thursday
South,327418,1,11,Thursday
South,204293,2,11,Thursday
South,122121,3,18,Friday
South,542696,1,18,Friday
North,340098,1,9,Monday
North,523098,4,9,Monday
North,134761,1,9,Monday
East,447726,2,15,Thursday
East,370119,2,15,Thursday
South,657152,4,17,Monday
East,613608,2,14,Monday
East,763628,1,0,Saturday
East,876627,2,0,Saturday
West,437577,2,12,Wednesday
West,144818,1,12,Wednesday
East,211520,5,23,Tuesday
East,647421,5,23,Tuesday
West,740474,5,4,Tuesday
West,821570,4,4,Tuesday
West,179507,4,4,Tuesday
West,129553,2,17,Monday
South,926868,1,6,Sunday
South,108796,3,6,Sunday
West,297266,2,10,Tuesday
West,734159,2,10,Tuesday
Central,458263,1,22,Thursday
Central,379582,1,22,Thursday
Central,821570,2,22,Thursday
North,667650,5,0,Thursday
North,664634,5,0,Thursday
North,995677,3,0,Thursday
West,424718,4,1,Sunday
West,319527,1,1,Sunday
West,447726,1,1,Sunday
East,177733,4,18,Friday
East,616207,4,18,Friday
South,643168,3,4,Thursday
Central,716660,2,6,Saturday
West,283803,2,13,Thursday
West,447726,4,13,Thursday
East,221626,2,0,Wednesday
East,763628,1,0,Wednesday
East,667650,3,4,Sunday
East,379582,2,4,Sunday
South,667650,3,6,Saturday
West,970718,3,0,Wednesday
West,391708,1,0,Wednesday
Central,821570,3,2,Wednesday
Central,995677,1,2,Wednesday
Central,572994,1,2,Wednesday
Central,559463,1,8,Thursday
Central,463028,2,4,Thursday
Central,131542,1,4,Thursday
East,511087,4,16,Tuesday
East,647654,3,16,Tuesday
East,529557,2,16,Tuesday
South,158033,2,20,Saturday
East,621298,2,16,Sunday
West,632686,2,17,Wednesday
East,526783,4,3,Thursday
East,845820,4,3,Thursday
West,458263,5,2,Saturday
West,780063,1,2,Saturday
West,127005,2,6,Monday
South,613608,4,6,Saturday
South,891289,5,6,Saturday
South,310436,2,6,Saturday
Central,621298,5,23,Monday
Central,616207,2,23,Monday
West,177733,2,23,Saturday
North,417528,4,12,Thursday
South,713622,2,23,Thursday
East,417528,3,15,Thursday
East,131542,1,15,Thursday
West,641411,1,9,Friday
West,149774,1,9,Friday
West,593117,1,9,Friday
East,989365,1,13,Thursday
East,826219,5,13,Thursday
East,257146,2,13,Thursday
North,283803,1,13,Tuesday
South,657152,1,17,Sunday
South,575961,2,17,Sunday
South,523098,2,17,Sunday
East,926868,1,14,Saturday
East,613608,1,14,Saturday
South,130198,1,7,Tuesday
North,314921,1,15,Monday
North,784425,3,16,Wednesday
North,474362,3,16,Wednesday
North,435530,1,16,Wednesday
North,844672,4,8,Tuesday
Central,272383,1,8,Sunday
Central,236141,2,8,Sunday
Central,228776,1,8,Sunday
Central,990634,1,8,Monday
Central,327670,4,8,Monday
Central,458263,3,8,Monday
North,667650,1,18,Sunday
North,149774,4,18,Sunday
North,572994,3,18,Sunday
South,830396,1,9,Thursday
South,799380,2,1,Friday
South,379582,4,1,Friday
South,319527,3,1,Friday
West,202715,1,3,Saturday
West,855760,1,3,Saturday
South,166402,1,13,Thursday
South,272383,5,13,Thursday
South,932387,1,13,Thursday
South,328679,1,11,Thursday
East,582219,1,23,Monday
East,799380,1,23,Monday
North,315187,3,18,Thursday
North,905146,4,0,Sunday
North,177733,2,0,Sunday
Central,891289,1,4,Friday
Central,327670,1,4,Friday
East,564853,3,17,Tuesday
East,331204,5,17,Tuesday
West,695926,1,16,Wednesday
South,144818,2,12,Saturday
South,634777,1,12,Saturday
South,108796,1,12,Saturday
East,635769,2,14,Friday
North,647654,2,11,Wednesday
North,582219,3,11,Wednesday
North,542696,1,11,Wednesday
South,340098,1,19,Thursday
South,409067,1,19,Thursday
North,447288,2,11,Monday
North,846554,4,11,Monday
Central,799380,4,15,Thursday
South,480254,1,16,Friday
West,125748,3,20,Tuesday
West,272383,1,20,Tuesday
West,130198,4,11,Thursday
West,474362,2,11,Thursday
Central,700732,1,4,Sunday
Central,601115,3,4,Sunday
Central,621298,4,4,Sunday
Central,158033,1,15,Wednesday
Central,799380,1,15,Wednesday
Central,989365,4,15,Wednesday
South,784425,1,9,Tuesday
South,876627,2,8,Monday
Central,462550,3,17,Wednesday
South,179507,2,15,Sunday
South,289459,2,15,Sunday
North,714157,3,20,Sunday
North,523098,2,20,Sunday
North,763628,1,20,Sunday
North,811207,1,3,Sunday
North,226632,4,20,Wednesday
North,647654,5,20,Wednesday
South,634777,1,9,Saturday
South,987911,2,9,Saturday
South,167392,3,23,Saturday
South,244547,4,23,Saturday
South,122121,3,23,Saturday
East,297266,1,20,Tuesday
East,152243,2,20,Tuesday
East,589456,2,20,Tuesday
North,462550,1,5,Saturday
North,700732,1,5,Saturday
North,166402,4,5,Saturday
East,103736,1,11,Monday
East,204220,3,11,Monday
West,616207,1,15,Wednesday
West,589456,2,15,Wednesday
West,760381,2,15,Wednesday
East,665639,1,2,Saturday
East,179507,2,2,Saturday
East,179507,2,2,Saturday
Central,874326,3,20,Tuesday
Central,780063,3,20,Tuesday
North,221626,2,20,Tuesday
North,713451,3,20,Tuesday
South,981997,2,11,Thursday
South,543513,1,11,Thursday
South,166402,2,11,Thursday
Central,143527,1,4,Thursday
Central,891289,1,4,Thursday
North,695926,3,23,Thursday
North,310436,1,23,Thursday
North,447288,5,23,Thursday
South,643168,1,3,Thursday
South,244547,1,3,Thursday
South,125748,1,3,Thursday
South,700732,2,21,Tuesday
South,601115,2,21,Tuesday
North,211520,3,10,Tuesday
North,589456,1,10,Tuesday
North,125748,1,10,Tuesday
Central,122121,2,22,Monday
Central,120672,2,22,Monday
Central,647654,2,22,Monday
Central,424718,2,15,Tuesday
Central,830396,1,15,Tuesday
Central,616207,1,15,Tuesday
West,855119,2,4,Tuesday
Central,788175,1,3,Thursday
Central,123191,4,3,Thursday
Central,108796,2,3,Thursday
North,293073,1,23,Monday
North,315187,2,23,Monday
East,712158,2,3,Thursday
East,556364,1,3,Thursday
West,981997,2,9,Wednesday
South,177733,3,20,Friday
North,203454,3,16,Sunday
North,644730,1,4,Sunday
North,741835,1,4,Sunday
North,280162,2,4,Sunday
East,621860,2,5,Sunday
West,643168,1,20,Friday
West,221626,2,20,Friday
Central,143527,1,7,Wednesday
Central,782729,2,7,Wednesday
Central,394174,1,7,Wednesday
East,202715,5,17,Monday
East,874326,1,17,Monday
East,912354,1,17,Monday
West,289459,1,22,Monday
West,134761,3,22,Monday
Central,738390,1,5,Thursday
East,130198,1,10,Sunday
East,108796,2,10,Sunday
East,149774,3,10,Sunday
South,451956,2,6,Tuesday
South,201111,1,6,Tuesday
South,876627,4,6,Tuesday
South,613608,1,16,Sunday
Central,257146,2,13,Friday
Central,130198,1,13,Friday
South,115348,2,8,Tuesday
South,587281,1,8,Tuesday
Central,799380,2,7,Sunday
Central,204220,1,7,Sunday
Central,846554,1,7,Sunday
South,760381,1,5,Saturday
South,280162,1,5,Saturday
South,995677,2,5,Saturday
Central,158033,3,6,Sunday
South,855760,4,9,Friday
South,917641,1,9,Friday
South,236141,2,9,Friday
East,784425,5,23,Thursday
East,763628,1,23,Thursday
East,511087,1,23,Thursday
East,844672,1,10,Tuesday
East,656573,3,10,Tuesday
East,409067,3,10,Tuesday
West,422552,1,5,Thursday
Central,144818,3,10,Friday
Central,550857,5,10,Friday
North,511087,1,9,Saturday
North,467525,3,9,Saturday
North,782729,2,9,Saturday
South,323016,1,21,Tuesday
South,293073,3,21,Tuesday
South,370119,3,21,Tuesday
West,179507,1,23,Thursday
Central,152243,2,9,Sunday
East,394174,2,17,Friday
South,664634,4,8,Sunday
South,125748,5,8,Sunday
South,582936,1,8,Sunday
South,738390,2,0,Friday
East,315487,1,12,Wednesday
East,556364,2,18,Friday
East,424718,3,18,Friday
Central,422552,1,14,Thursday
East,634777,1,21,Wednesday
East,647654,5,21,Wednesday
East,625107,1,21,Wednesday
Central,431976,2,20,Thursday
North,821570,5,8,Friday
North,634777,3,8,Friday
South,966126,1,5,Thursday
South,989365,1,5,Thursday
North,202715,3,13,Thursday
North,896270,2,13,Thursday
North,932952,2,13,Thursday
North,511087,1,10,Wednesday
West,328679,2,11,Thursday
West,981997,2,11,Thursday
West,257146,2,11,Thursday
East,885901,1,4,Tuesday
South,327418,2,9,Thursday
South,447726,4,9,Thursday
North,858212,3,13,Saturday
East,855119,5,17,Thursday
East,404100,2,17,Thursday
East,528608,3,17,Thursday
East,291116,1,7,Monday
East,451956,1,7,Monday
South,129553,4,7,Wednesday
South,458363,1,7,Wednesday
South,315187,2,7,Wednesday
Central,657579,1,17,Saturday
Central,784362,1,7,Friday
Central,451956,4,7,Friday
East,830396,2,16,Saturday
East,424718,4,16,Saturday
East,830396,1,16,Saturday
East,784425,5,12,Thursday
East,115684,1,12,Thursday
West,572994,1,10,Sunday
West,203454,1,13,Friday
West,797959,4,13,Friday
South,158033,1,20,Tuesday
South,926868,1,20,Tuesday
South,283621,1,13,Sunday
North,458363,2,5,Sunday
North,447726,3,5,Sunday
North,543513,1,5,Sunday
South,643168,1,16,Monday
South,254410,1,16,Monday
South,644730,2,16,Monday
East,797959,1,16,Wednesday
East,625107,5,16,Wednesday
West,467894,1,18,Monday
South,995677,2,5,Wednesday
South,526783,1,5,Wednesday
Central,593117,1,17,Thursday
South,981997,1,14,Saturday
South,451956,1,14,Saturday
South,511087,2,14,Saturday
North,713622,1,19,Friday
East,136788,1,14,Thursday
North,327418,2,7,Monday
North,131542,2,7,Monday
West,830396,1,13,Friday
West,179932,1,13,Friday
East,740474,3,17,Monday
East,926868,1,17,Monday
North,641411,1,20,Saturday
North,283803,3,20,Saturday
North,177733,1,20,Saturday
North,203454,3,3,Friday
North,179507,1,3,Friday
North,115348,5,3,Friday
South,417528,2,14,Monday
South,143527,2,14,Monday
South,379582,1,14,Monday
North,797959,2,3,Tuesday
North,582219,2,3,Tuesday
North,766294,1,3,Tuesday
South,143527,1,2,Wednesday
South,876627,2,2,Wednesday
South,394174,3,2,Wednesday
Central,431976,1,12,Sunday
East,293073,4,11,Thursday
West,987911,2,15,Saturday
West,357966,2,15,Saturday
East,417009,1,11,Thursday
East,738390,2,11,Thursday
East,667650,1,11,Thursday
East,179932,3,5,Friday
East,830396,1,5,Friday
East,236141,2,5,Friday
East,714157,2,10,Wednesday
East,641411,1,10,Wednesday
East,575961,1,10,Wednesday
North,228776,2,1,Monday
North,240196,3,1,Monday
North,357966,2,1,Monday
East,176656,3,14,Wednesday
East,784425,3,14,Wednesday
Central,451956,2,7,Monday
Central,981997,3,7,Monday
East,582936,1,16,Friday
Central,340098,3,0,Wednesday
Central,467525,1,12,Friday
Central,263679,2,12,Friday
Central,436470,2,19,Tuesday
Central,203454,1,10,Wednesday
Central,738390,3,10,Wednesday
Central,436470,1,10,Wednesday
South,120672,2,9,Monday
Central,780063,1,16,Sunday
Central,591797,4,16,Sunday
Central,734159,2,16,Sunday
East,160732,1,15,Thursday
East,268844,3,15,Thursday
East,799380,1,15,Thursday
South,529557,2,17,Monday
South,966126,1,17,Monday
South,844672,2,10,Sunday
North,268844,2,6,Friday
West,589456,2,9,Sunday
West,467894,2,9,Sunday
West,667650,1,9,Sunday
South,990634,2,13,Friday
South,280162,1,13,Friday
South,293073,2,18,Thursday
South,664634,1,18,Thursday
Central,987911,1,8,Saturday
Central,682453,1,8,Saturday
Central,625107,4,8,Saturday
South,167392,4,2,Monday
South,221626,1,2,Monday
South,712158,1,11,Sunday
North,858212,3,19,Monday
North,417528,1,19,Monday
West,240196,4,18,Wednesday
South,211520,1,20,Tuesday
South,319527,2,20,Tuesday
South,291116,1,20,Tuesday
West,826219,1,14,Tuesday
West,716660,1,14,Tuesday
West,714157,3,14,Tuesday
South,621860,1,0,Thursday
West,995677,2,11,Sunday
East,436470,4,20,Friday
West,115684,1,3,Saturday
West,143527,4,3,Saturday
West,784425,3,3,Saturday
East,738390,1,11,Friday
East,966126,1,11,Friday
East,424718,1,11,Friday
West,830396,1,6,Saturday
West,656573,1,6,Saturday
South,784425,1,2,Monday
North,435530,1,6,Thursday
North,257146,1,6,Thursday
North,458363,1,6,Thursday
West,315187,1,19,Tuesday
West,257146,1,19,Tuesday
North,457848,3,0,Thursday
Central,643168,1,5,Friday
East,821570,1,6,Sunday
East,572994,2,6,Sunday
Central,134761,1,4,Tuesday
Central,134848,1,4,Tuesday
South,891289,2,1,Sunday
North,712158,2,22,Saturday
East,734159,5,11,Tuesday
South,351367,3,22,Saturday
North,190530,1,9,Sunday
North,526783,2,9,Sunday
North,254410,1,9,Sunday
Central,644730,2,20,Saturday
Central,152243,1,10,Wednesday
West,357966,1,23,Friday
West,621298,4,23,Friday
East,211520,2,19,Wednesday
East,821570,2,19,Wednesday
East,821570,1,19,Wednesday
Central,830396,4,8,Monday
West,437577,1,2,Thursday
West,989365,4,2,Thursday
Central,966126,2,14,Sunday
Central,625107,4,14,Sunday
South,130198,1,13,Friday
South,453516,3,13,Friday
East,379582,1,1,Monday
East,995677,3,1,Monday
East,641411,2,1,Monday
Central,435530,3,11,Tuesday
Central,826219,1,11,Tuesday
East,424718,2,9,Friday
West,179932,2,9,Wednesday
West,528608,2,9,Wednesday
West,556364,1,14,Wednesday
Central,370119,2,18,Wednesday
Central,602517,2,18,Wednesday
Central,480254,4,18,Wednesday
West,134761,2,15,Sunday
Central,926868,1,2,Tuesday
Central,314921,1,2,Tuesday
Central,995677,1,2,Tuesday
East,204220,1,18,Monday
East,657579,3,18,Monday
East,240196,2,18,Monday
Central,340098,3,0,Sunday
North,784362,1,23,Wednesday
North,327670,1,23,Wednesday
North,474362,1,23,Wednesday
West,973291,3,7,Saturday
West,966126,2,7,Saturday
West,582936,2,7,Saturday
East,463028,1,13,Thursday
Central,474362,1,10,Friday
North,885901,3,9,Thursday
North,656573,4,9,Thursday
North,625107,3,9,Thursday
South,970718,3,23,Thursday
South,588836,2,23,Thursday
South,436470,1,23,Thursday
South,734159,2,1,Monday
South,543513,3,1,Monday
South,204220,3,1,Monday
South,513418,1,5,Friday
South,799380,2,5,Friday
West,588836,2,4,Tuesday
East,268844,3,8,Thursday
East,740474,3,8,Thursday
East,280162,5,8,Thursday
Central,896270,3,5,Wednesday
Central,474362,1,5,Wednesday
East,340098,1,6,Wednesday
Central,564853,1,4,Friday
Central,310436,2,4,Friday
North,523098,1,20,Friday
Central,203454,1,17,Wednesday
Central,713622,1,17,Wednesday
Central,643168,1,17,Wednesday
North,644730,3,13,Wednesday
North,351367,1,13,Wednesday
South,528608,2,18,Wednesday
South,283621,1,18,Wednesday
South,327670,2,18,Wednesday
West,447726,1,6,Saturday
West,632686,2,6,Saturday
West,616207,1,6,Saturday
West,526783,3,7,Thursday
West,858212,1,7,Thursday
West,657579,1,7,Thursday
West,272383,2,14,Friday
South,621860,1,1,Friday
South,458263,2,1,Friday
South,582219,4,1,Friday
North,417528,3,2,Sunday
North,602517,2,2,Sunday
North,830396,1,1,Thursday
North,713622,1,1,Thursday
East,280162,1,20,Sunday
East,318514,2,20,Sunday
East,134761,1,15,Wednesday
West,166402,4,20,Tuesday
West,664634,1,19,Friday
West,367952,4,19,Friday
West,417528,2,19,Friday
South,780063,3,18,Friday
Central,179507,3,12,Friday
Central,876627,5,5,Tuesday
Central,480254,2,5,Tuesday
Central,564853,1,5,Tuesday
North,240196,4,11,Monday
West,451956,4,22,Friday
West,134848,1,22,Friday
West,593117,2,19,Saturday
West,641411,1,19,Saturday
West,297266,3,19,Saturday
Central,177733,4,20,Thursday
Central,394868,3,20,Thursday
East,613608,2,0,Monday
East,351367,1,0,Monday
East,559463,1,0,Monday
South,874326,4,14,Saturday
South,327418,2,14,Saturday
North,788175,1,3,Saturday
South,179932,4,5,Tuesday
South,543513,1,5,Tuesday
Central,367952,1,2,Tuesday
Central,635769,1,2,Tuesday
Central,204220,1,2,Tuesday
West,811207,3,13,Sunday
West,989365,1,13,Sunday
West,741835,1,13,Sunday
South,876627,4,6,Monday
South,885901,2,6,Monday
South,480254,2,6,Monday
North,989365,4,11,Friday
North,467525,1,8,Saturday
West,226632,1,12,Wednesday
West,647421,3,12,Wednesday
West,766294,1,12,Wednesday
South,318514,3,22,Friday
South,858357,2,22,Friday
Central,115348,2,19,Tuesday
Central,989365,3,19,Tuesday
Central,580730,1,19,Tuesday
Central,123191,2,4,Sunday
West,351367,2,5,Tuesday
West,593117,3,5,Tuesday
West,457848,2,5,Tuesday
Central,542696,2,5,Wednesday
Central,656573,3,5,Wednesday
Central,845820,2,1,Saturday
South,788175,1,12,Thursday
South,394174,1,12,Thursday
West,657579,2,23,Monday
North,782729,2,8,Monday
North,314921,3,9,Sunday
North,625107,2,9,Sunday
North,826219,1,9,Sunday
Central,394868,1,21,Saturday
Central,130969,1,17,Tuesday
Central,203454,1,17,Tuesday
Central,244547,4,17,Tuesday
North,575961,3,3,Monday
North,160732,3,3,Monday
North,291116,2,3,Monday
North,587281,3,23,Friday
South,158033,1,4,Friday
North,596545,1,18,Tuesday
Central,122121,2,23,Wednesday
Central,601115,3,1,Thursday
Central,152243,1,1,Thursday
West,166402,2,20,Monday
West,528608,1,20,Monday
West,327418,1,20,Monday
North,293073,2,11,Friday
North,160732,1,11,Friday
North,616207,4,11,Friday
South,467525,3,19,Tuesday
South,741835,3,19,Tuesday
Central,315187,1,19,Thursday
East,417528,2,6,Friday
East,582219,2,6,Friday
East,613608,2,6,Friday
East,529557,1,5,Tuesday
West,665639,3,5,Friday
West,436470,1,5,Friday
Central,240196,1,8,Friday
Central,587281,3,8,Friday
Central,115684,2,8,Friday
Central,957598,2,1,Wednesday
Central,327670,2,1,Wednesday
Central,784425,4,1,Wednesday
North,272383,4,0,Saturday
North,268844,2,0,Saturday
North,394868,1,16,Friday
North,319527,2,16,Friday
South,591797,4,7,Sunday
South,357966,3,7,Sunday
South,149774,4,7,Sunday
North,876627,2,4,Wednesday
North,912354,1,4,Wednesday
North,917641,2,4,Wednesday
South,695926,1,10,Tuesday
South,727865,1,10,Tuesday
West,621298,5,13,Tuesday
West,844672,1,13,Tuesday
East,682453,3,7,Saturday
West,713451,5,2,Wednesday
West,591797,2,2,Wednesday
West,127005,2,15,Thursday
West,575961,3,15,Thursday
West,559463,1,0,Monday
West,404100,4,0,Monday
Central,351367,3,15,Saturday
Central,780063,4,15,Saturday
East,236141,1,11,Tuesday
East,885901,2,11,Tuesday
North,122121,1,8,Wednesday
North,700732,1,8,Wednesday
North,987911,2,8,Wednesday
North,973291,1,16,Friday
North,564853,3,16,Friday
Central,526783,3,8,Thursday
Central,130198,3,8,Thursday
Central,766294,4,6,Thursday
Central,995677,2,6,Thursday
Central,144818,3,6,Thursday
West,989365,1,5,Friday
West,436470,4,5,Friday
North,283803,4,3,Saturday
North,340098,1,20,Monday
North,741835,3,20,Monday
North,331204,1,20,Monday
Central,896270,2,8,Sunday
Central,134761,2,8,Sunday
Central,845820,1,8,Sunday
Central,462550,2,17,Monday
West,780063,3,13,Friday
West,621298,2,13,Friday
West,588836,2,13,Friday
East,431976,1,21,Monday
East,409067,1,21,Monday
East,293073,2,21,Monday
East,613608,2,16,Wednesday
East,134848,1,16,Wednesday
East,821570,2,2,Thursday
East,891289,2,2,Thursday
Central,394174,3,10,Monday
South,467525,2,22,Thursday
Central,166402,1,9,Monday
Central,134761,1,9,Monday
East,782729,1,8,Saturday
East,424718,2,8,Saturday
East,328679,1,8,Saturday
South,987911,1,4,Thursday
South,784362,1,4,Thursday
Central,713622,3,5,Saturday
Central,740474,4,5,Saturday
West,179507,1,21,Thursday
West,103736,3,21,Thursday
West,167392,1,21,Thursday
East,319527,4,12,Sunday
East,221626,1,6,Saturday
East,932952,2,6,Saturday
Central,458263,3,11,Monday
Central,458363,2,11,Monday
North,858357,1,19,Saturday
North,394868,2,19,Saturday
North,643168,1,19,Saturday
East,758294,1,22,Saturday
East,797959,2,22,Saturday
South,657152,1,12,Tuesday
South,891289,1,12,Tuesday
South,480254,2,22,Saturday
South,323016,1,11,Tuesday
East,179932,2,2,Tuesday
South,152243,2,10,Wednesday
East,826219,1,17,Sunday
East,152243,1,17,Sunday
West,599381,1,0,Wednesday
West,130198,1,0,Wednesday
Central,981997,2,18,Tuesday
Central,526783,5,18,Tuesday
West,543513,1,23,Tuesday
West,700732,4,23,Tuesday
East,263679,2,16,Sunday
East,855119,5,16,Sunday
